Geneid,ERR392055,ERR392056,ERR392057,ERR392058,ERR392059,ERR392060,ERR392061,ERR392062,ERR392063,ERR392064,ERR392065,ERR392066,ERR392067,ERR392068,ERR392069,ERR392070,ERR392071,ERR392072,ERR392073,ERR392074,ERR392075,ERR392076,ERR392077,ERR392078,ERR392079,ERR392080,ERR392081,ERR392082,ERR392083,ERR392084
TraesCS6A02G330100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G109400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G109600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G169100,0.431049834711102,5.41845798044693,3.55917613476995,5.19335079071604,0.0725893391549134,0.0831057698702896,1.44440778610549,1.62879018086852,0.269289315420556,0.149925270852447,0.753337933462629,1.01105210018218,0.656635361102837,0.422868455161016,0.170318019746319,8.1349648877247,0.980104000461775,2.33181304265458,0,0.336783104316579,0.503923722494493,0.533516299773227,7.24202469268071,0.0355143981451074,0.136810712597362,0.31937142632658,0,0.0351266042748885,0.281477683907548,0.0349175368021223
TraesCS7A02G209000,0.411163495703234,0.475262459373623,0.38302279140724,0.117946602389793,0.392362575107917,0.211391235081535,0.5845087051005,0.414305731791993,0.171243829008084,0.190678025273685,0,0.0714375964384746,0.556748186471233,0.161343824537744,0.0361023233876237,0.275899058536299,0.692509061007905,0.429238455482747,0.10601044919238,0.749573368086152,0.534083745785934,0.424085587413257,0.321298433561488,0.20325572005741,0.173998661906869,0.203091555394708,0.348052438269493,0.201036301273988,0.134245902861144,0.333066279970369
TraesCS7A02G300400,0,0,0,0.112153154779183,0,21.1058250920583,0,2.56070976606057,0,0,10.0215381595791,3.66814633907558,0,0.102279158870246,30.0035500706905,0,0,0.0742099251379694,6.75382085676212,0,0,0,0.407355331078183,0,8.10714700360992,0,0.0551593944344212,0,7.14850337484719,0
TraesCS7A02G409900,0.0923900041978048,0.640759713478271,0.187781848830691,0.954109835470167,0.995750012614951,2.63627308889687,0.450313142642268,1.25679703437333,1.03893680409011,0.706960300957682,2.79878430131289,2.02258981616655,1.31358610902657,1.37767374224648,3.11513457826121,0.464966773121633,1.30711916808303,0.105219836218677,2.57266280302316,1.15496223094158,0.864076699954535,1.25787614625928,0.818232466171451,0.63941268706501,3.04965666265301,1.05613461587824,1.05581757300699,0.783009464167905,2.23225187724232,0.868158641960548
TraesCS7A02G477400,0,0,0,0,0,0,0.169233206314296,0,0,0.0966124940330747,0,0,0.141046223774797,0,0,0.139792176409998,0.280703672815767,0,0,0,0,0,0.0723533656644282,0,0,0,0,0,0,0
TraesCS7A02G477500,0.2820469043106,1.5893330649746,0,1.33498432624253,0,0.217512902079864,0,0.426303588394474,1.23342008657619,1.76579873624967,1.15016586982106,0,0.85930653927314,0.664064685450803,0.297182468472316,3.26472124599744,0.712563392320084,0,0.109080399883802,2.42402355324635,0.879280395554907,2.61819994985853,1.17547696709951,0,0.89518739731045,0.238826139921636,0.119377223145463,0.229842333690161,0.55253408992849,0.182779481500845
TraesCS7A02G490000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TraesCS7A02G526900,0,0.134049610476463,0.0785694954311693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
